COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,str,wikidata
11527805,2261105979,,545957,95060,95079,2261105979,IAŞI,,,12,"ȘCOALA GIMNAZIALĂ ""ȘTEFAN BÂRSĂNESCU"", IAŞI",SCOALA GIMNAZIALA STEFAN BARSANESCU IASI,IAŞI,,Zugravi,
,0162103762,0161102752,,2988,3002,0162103762,ALBA,,,,SCOALA PRIMARA GHIRBOM,SCOALA PRIMARA GHIRBOM,GHIRBOM,,,
3126691,1761104584,,1069675,75098,75105,1761104584,GALAŢI,45.43429955,28.0301955657028,25,"LICEUL TEORETIC ""SFANTA MARIA"", LOCALITATEA GALATI",LICEUL TEORETIC SFANTA MARIA LOCALITATEA GALATI,GALAŢI,110399157,CONSTRUCTORILOR,
29047079,0261100364,,317611,11423,11441,0261100364,ARAD,,,,"SCOALA GIMNAZIALA ""SIMONYI IMRE"" SATU NOU",SCOALA GIMNAZIALA SIMONYI IMRE SATU NOU,SATU NOU,,,
29345172,1361101673,,130451950,63286,60749,1361101673,CONSTANŢA,,,1,ŞCOALA GIMNAZIALĂ ’MIHAI EMINESCU’ COSTINEŞTI,SCOALA GIMNAZIALA MIHAI EMINESCU COSTINESTI,COSTINEŞTI,,GĂRII,
28019348,1361101854,,130453233,62137,62146,1361101854,CONSTANŢA,,,137,ŞCOALA GIMNAZIALĂ ’NICHITA STĂNESCU’ MERENI,SCOALA GIMNAZIALA NICHITA STANESCU MERENI,MERENI,,LIBERTĂŢII,
,0762101864,0761104433,,35759,35811,0762101864,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 ORASENI-DEAL,GRADINITA CU PROGRAM NORMAL NR 1 ORASENI DEAL,ORĂŞENI-DEAL,,ORASENI-DEAL,
,1662102968,1661104364,,69900,69919,1662102968,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 35 CRAIOVA,GRADINITA CU PROGRAM NORMAL NR 35 CRAIOVA,CRAIOVA,,,
5303102,1261102712,,121315476,54975,54984,1261102712,CLUJ,46.7720399,23.597239,18,SEMINARUL TEOLOGIC ORTODOX CLUJ-NAPOCA,SEMINARUL TEOLOGIC ORTODOX CLUJ NAPOCA,CLUJ-NAPOCA,2634652260,Avram Iancu,
,0362105214,0361104294,,16427,16436,0362105214,ARGEŞ,,,,ŞCOALA PRIMARĂ FUREŞTI,SCOALA PRIMARA FURESTI,DOBREŞTI,,,
,1562102228,1561105706,,102286,102339,1562102228,DÂMBOVIŢA,,,147,GRĂDINIȚA CU PROGRAM PRELUNGIT SAMURCAȘI CREVEDIA,GRADINITA CU PROGRAM PRELUNGIT SAMURCASI CREVEDIA,SAMURCAŞI,,CALEA SAMURCASI,
29145891 ,1561100208,,470229,69170,69189,1561100208,DÂMBOVIŢA,,,118,ȘCOALA GIMNAZIALĂ VALEA MARE,SCOALA GIMNAZIALA VALEA MARE,VALEA MARE,,PRINCIPALĂ,
17739530,3261101638,,320673558,143450,143469,3261101638,SIBIU,,,,SCOALA GIMNAZIALA NR 10 SIBIU,SCOALA GIMNAZIALA NR 10 SIBIU,SIBIU,,E.A.BIELZ NR.60,
,3962103661,3961100988,,177236,177245,3962103661,VRANCEA,,,1,SCOALA PRIMARA BOSTANESTI,SCOALA PRIMARA BOSTANESTI,PĂUNEŞTI,,Principala,
