lat,lon,altitude,geometry,,id,amenity,name,created_by,old_name,addr:housenumber,addr:street,int_name,ele,fixme,name:de,addr:city,addr:postcode,is_in:city,is_in:country,is_in:county,operator,phone,note,addr:housename,addr:postcode:source,wheelchair,is_in:country_code,local:picture,source:name,name:ro,addr:country,alt_name,website,name:en,source,building,toilets:wheelchair,description,name:hu,historic,addr:county,email,designation,name:,source:amenity,contact:phone,office,opening_hours,name:am,working
44.3922259,26.1198188,,Point,node/129611083,school,SCOALA NR 190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.217831,24.791413,,Point,node/202965818,school,LICEUL JOSEPH HALTRICH,Potlatch 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2144903,24.7896432,,Point,node/203327682,school,,,Liceul MIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.221991,24.792364,,Point,node/203338431,school,RADU POPA,Potlatch 06a,Generala 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.220631,24.7925562,,Point,node/203358770,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2217416,24.7842873,,Point,node/203359574,school,,Potlatch 06a,Generala 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2124606,24.7809807,,Point,node/203360412,school,OCTAVIAN GOGA,Potlatch 010f,Generala 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2221037,24.7978262,,Point,node/203361639,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2222403,24.7986244,,Point,node/203365605,school,,Potlatch 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2203179,24.7986097,,Point,node/203366422,school,,Potlatch 010d,Generala 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2160285,24.7915658,,Point,node/206100735,school,GRUP SCOLAR AGRICOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.5604044,25.9442717,,Point,node/247642552,school,SCOALA NR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.5601842,25.9449326,,Point,node/247642559,school,CLUBUL ELEVILOR,Potlatch 07a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1671496,21.3142404,,Point,node/252246615,school,GRUP SCOLAR FRANCISC NEUMAN ARAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1640737,21.3138373,,Point,node/252246828,school,,Potlatch 07b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1682169,21.3117087,,Point,node/252246872,school,ACADEMIA TEOLOGICA,Potlatch 07b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.1209577,27.6254364,,Point,node/254040317,school,SCOALA GENERALA NR 2 VERONICA MICLE,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.6526881,25.6140681,,Point,node/255679625,school,SCOALA GENERALA NR 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.187392,21.3292802,,Point,node/256115795,school,ARON COTRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1736832,21.3013953,,Point,node/256977659,school,SCOALA GENERALA 2,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.7183848,22.3975751,,Point,node/259199427,school,SCOALA GENERALA NR 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.649974,25.6002105,,Point,node/259528191,school,SCOALA GENERALA NR 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.429355,25.7507349,,Point,node/260603491,school,SCOALA GENERALA NR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1887229,21.2996592,,Point,node/260664784,school,SCOALA GENERALA 8,Potlatch 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2238482,23.9584765,,Point,node/260761944,school,SCOALA I IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.8969697,29.5940451,,Point,node/261729044,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
