SIRUTA LOCALITATE,SIRUTA LOC SUP,COD SIIIR,COD SIIIR SUP,COD SIRUES,COD FISCAL
1160,1151,0161100031,,303816,12877744
1160,1151,0161102892,,1180302,4905584
1160,1151,0162100144,0161100031,,
3413,3397,0162104415,0161102788,,
1222,1213,0161103468,,301533,32345563
1222,1213,0162101154,0161100126,,
1222,1213,0162101665,0161102268,,
1222,1213,0162101136,0161100126,,
1222,1213,0161103328,,308165,4613601
1222,1213,0162101923,0161103328,,
1222,1213,0162101145,0161100126,,
1222,1213,0161103337,,111172,9054586
1222,1213,0162101163,0161100126,,
1222,1213,0161100126,,303866,4613660
1222,1213,0152102001,0171103134,,
1222,1213,0161102268,,303880,12840966
1222,1213,0161102856,,3107263,4613580
1222,1213,0161102571,,301454,32345571
1026,1017,0162102119,0161102874,,
1026,1017,0162105592,0161100022,,
1026,1017,0161103477,,303646,12817386
1026,1017,0161102933,,3100344,4613377
1026,1017,0161102874,,1162946,18953743
1026,1017,0162102214,0161100108,,
1026,1017,0161103405,,303660,12672013
1026,1017,0162102173,0161103079,,
1026,1017,0161202628,,3070410,27123820
1026,1017,0182101856,0161102933,,
1026,1017,0121100011,,1,4562648
1026,1017,0161103278,,958099,4681800
1026,1017,0161102241,,12150005,12150005
1026,1017,0161102422,,1163043,12795083
1026,1017,0161102562,,301296,18953743
1026,1017,0161100022,,1180223,4562630
1026,1017,0161202809,,3129821,25281076
1026,1017,0161102589,,308139,4613393
1026,1017,0162102191,0161103079,,
1026,1017,0162105642,0161100108,,
1026,1017,0141103345,,8888,21483277
1026,1017,0162105651,0161102874,,
1026,1017,0161102476,,100185,9431570
1026,1017,0161103373,,1313519,4613385
1026,1017,0161102675,,303672,12633715
1026,1017,0162102155,0161102508,,
1026,1017,0161102372,,1062421,4562788
1026,1017,0161102318,,503129,4855087
1026,1017,0161202397,,3049459,7053860
1026,1017,0161102716,,3040398,5504718
1026,1017,0161102508,,301260,18953743
1026,1017,0161102526,,1230432,18953743
1026,1017,0131100079,,11103003,4681797
1026,1017,0171103134,,311899,12817394
1026,1017,0161100108,,1230444,18953743
1026,1017,0162102146,0161102508,,
1026,1017,0161103495,,308270,4562710
1026,1017,0162102164,0161102508,,
1026,1017,0161103079,,301272,18953743
1026,1017,0161102838,,1149322,18953743
1026,1017,0161202447,,832931,30566320
1026,1017,0161102847,,100324,7745852
2149,2130,0161103206,,304470,12848730
