COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,osm,roaep,safe,str,wikidata
11527805,2261105979,,545957,95060,95079,2261105979,IAŞI,47.1680843,27.5694525,12,"ȘCOALA GIMNAZIALĂ ""ȘTEFAN BÂRSĂNESCU"", IAŞI",SCOALA GENERALA STEFAN BARSANESCU IASI,IAŞI,2212130251,0,0,Zugravi,
,0162103762,0161102752,,2988,3002,0162103762,ALBA,46.0359163242847,23.7217177052617,,SCOALA PRIMARA GHIRBOM,SCOALA PRIMARA GHIRBOM,GHIRBOM,,SCOALA PRIMARĂ GHIRBOM,100,,
3126691,1761104584,,1069675,75098,75105,1761104584,GALAŢI,45.43429955,28.0301955657028,25,"LICEUL TEORETIC ""SFANTA MARIA"", LOCALITATEA GALATI",LICEUL TEORETIC SFANTA MARIA LOCALITATEA GALATI,GALAŢI,110399157,0,0,CONSTRUCTORILOR,
29047079,0261100364,,317611,11423,11441,0261100364,ARAD,,,,"SCOALA GIMNAZIALA ""SIMONYI IMRE"" SATU NOU",SCOALA GENERALA SIMONYI IMRE SATU NOU,SATU NOU,,0,0,,
29345172,1361101673,,130451950,63286,60749,1361101673,CONSTANŢA,43.949777035291,28.6321245469174,1,ŞCOALA GIMNAZIALĂ ’MIHAI EMINESCU’ COSTINEŞTI,SCOALA GENERALA MIHAI EMINESCU COSTINESTI,COSTINEŞTI,,"ȘCOALA GIMNAZIALĂ ""MIHAI EMINESCU"" COSTINEȘTI",100,GĂRII,
28019348,1361101854,,130453233,62137,62146,1361101854,CONSTANŢA,44.0318524177256,28.3830605223865,137,ŞCOALA GIMNAZIALĂ ’NICHITA STĂNESCU’ MERENI,SCOALA GENERALA NICHITA STANESCU MERENI,MERENI,,SCOALA GIMNAZIALA NICHITA STANESCU,90,LIBERTĂŢII,
,0762101864,0761104433,,35759,35811,0762101864,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 ORASENI-DEAL,GRADINITA CU PROGRAM NORMAL NR 1 ORASENI DEAL,ORĂŞENI-DEAL,,0,0,ORASENI-DEAL,
,1662102968,1661104364,,69900,69919,1662102968,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 35 CRAIOVA,GRADINITA CU PROGRAM NORMAL NR 35 CRAIOVA,CRAIOVA,,0,0,,
5303102,1261102712,,121315476,54975,54984,1261102712,CLUJ,46.7720399,23.597239,18,SEMINARUL TEOLOGIC ORTODOX CLUJ-NAPOCA,SEMINARUL TEOLOGIC ORTODOX CLUJ NAPOCA,CLUJ-NAPOCA,2634652260,0,0,Avram Iancu,
,0362105214,0361104294,,16427,16436,0362105214,ARGEŞ,,,,ŞCOALA PRIMARĂ FUREŞTI,SCOALA PRIMARA FURESTI,DOBREŞTI,,0,0,,
,1562102228,1561105706,,102286,102339,1562102228,DÂMBOVIŢA,,,147,GRĂDINIȚA CU PROGRAM PRELUNGIT SAMURCAȘI CREVEDIA,GRADINITA CU PROGRAM PRELUNGIT SAMURCASI CREVEDIA,SAMURCAŞI,,0,0,CALEA SAMURCASI,
29145891 ,1561100208,,470229,69170,69189,1561100208,DÂMBOVIŢA,44.7797449884867,25.238697956394,118,ȘCOALA GIMNAZIALĂ VALEA MARE,SCOALA GENERALA VALEA MARE,VALEA MARE,,ȘCOALA GIMNAZIALĂ VALEA MARE,100,PRINCIPALĂ,
17739530,3261101638,,320673558,143450,143469,3261101638,SIBIU,45.7896838731896,24.1183782743982,,SCOALA GIMNAZIALA NR 10 SIBIU,SCOALA GENERALA NR 10 SIBIU,SIBIU,,ȘCOALA GIMNAZIALĂ NR.10,88,E.A.BIELZ NR.60,
