latitude,longitude,id,name,old_name,addr:housenumber,addr:street,siruta
44.3922259,26.1198188,129611083,SCOALA NR 190,,,,179178
46.217831,24.791413,202965818,LICEUL JOSEPH HALTRICH,,,,114523
46.2144903,24.7896432,203327682,,Liceul MIU,,,114523
46.221991,24.792364,203338431,RADU POPA,Generala 1,,,114523
46.220631,24.7925562,203358770,,,,,114523
46.2217416,24.7842873,203359574,,Generala 4,,,114523
46.2124606,24.7809807,203360412,OCTAVIAN GOGA,Generala 5,,,114523
46.2221037,24.7978262,203361639,,,,,114523
46.2222403,24.7986244,203365605,,,,,114523
46.2203179,24.7986097,203366422,,Generala 3,,,114523
46.2160285,24.7915658,206100735,GRUP SCOLAR AGRICOL,,,,114523
44.5604044,25.9442717,247642552,SCOALA NR 2,,,,100585
44.5601842,25.9449326,247642559,CLUBUL ELEVILOR,,,,100585
46.1671496,21.3142404,252246615,GRUP SCOLAR FRANCISC NEUMAN ARAD,,,,9271
46.1640737,21.3138373,252246828,,,,,9271
46.1682169,21.3117087,252246872,ACADEMIA TEOLOGICA,,,,9271
47.1209577,27.6254364,254040317,SCOALA GENERALA NR 2 VERONICA MICLE,,72,,95079
45.6526881,25.6140681,255679625,SCOALA GENERALA NR 8,,,,40205
46.187392,21.3292802,256115795,ARON COTRUS,,,,9271
46.1736832,21.3013953,256977659,SCOALA GENERALA 2,,,,9271
44.7183848,22.3975751,259199427,SCOALA GENERALA NR 2,,,,110072
45.649974,25.6002105,259528191,SCOALA GENERALA NR 5,,,,40205
45.429355,25.7507349,260603491,SCOALA GENERALA NR 1,,,,0
46.1887229,21.2996592,260664784,SCOALA GENERALA 8,,,,9271
46.2238482,23.9584765,260761944,SCOALA I IV,,,,7375
44.8969697,29.5940451,261729044,,,,,161240
45.4398625,25.2913909,262541551,SCOALA GENERALA,,,,41006
46.1886278,21.2980627,262884691,SCOALA GENERALA NR 8,,,,9271
46.1936171,21.3318,263894533,SCOALA GENERALA ARON COTRUS,,,,9271
46.1405356,21.3438314,265268897,,,,,9271
46.1589728,21.3257128,265356525,GENERALA NR 20,,,,9271
46.2164248,24.7927296,265452064,LICEUL MIU,,,,114523
45.7488612,22.8993746,267439955,SCOALA GENERALA NR 5,,19,Bulevardul Decebal,86829
44.4511825,26.123467,268246356,SCOALA NR 158,,,,179150
46.1763325,21.3605208,268339333,,,,,9271
46.1901405,21.3308655,268985827,SCOALA GENERALA ARON COTRUS,,,,9271
46.2036886,21.2826941,269253773,SCOALA GENERALA FRATII NEUMANN,,,,9271
46.1529096,21.307635,270328143,GENERALA NR 20,,,,9271
45.924629,25.8493826,271135997,SCOALA GENERALA 18,,,,0
44.4208153,26.614585,271285333,LICEUL ION BARBU,,,,0
44.4339606,26.743789,271720895,SCOALA NR 150 SFANTUL ELEFTERIE,,,,0
45.1261357,25.7347052,275139284,LICEUL NICOLAE GRIGORESCU,,,,131265
44.3331669,26.778532,275380718,SCOALA JILAVA,,,,0
